Entity,id
Apples,1
Bananas,2
Barley,3
Beef (beef herd),4
Beef (dairy herd),5
Beet Sugar,6
Berries & Grapes,7
Brassicas,8
Cane Sugar,9
Cassava,10
Cheese,11
Citrus Fruit,12
Coffee,13
Dark Chocolate,14
Eggs,15
Fish (farmed),16
Groundnuts,17
Lamb & Mutton,18
Maize,19
Milk,20
Nuts,21
Oatmeal,22
Onions & Leeks,23
Other Fruit,24
Other Pulses,25
Other Vegetables,26
Peas,27
Pig Meat,28
Potatoes,29
Poultry Meat,30
Prawns (farmed),31
Rice,32
Root Vegetables,33
Soy milk,34
Tofu,35
Tomatoes,36
Wheat & Rye,37
Wine,38
